text,drug,effect,indexes
anti-tuberculous drugs had been stopped on the 2nd day of therapy due to development of optic neuritis secondary to ethambutol administration at another hospital,ethambutol,optic neuritis,"{'drug': {'start_char': array([116], dtype=int32), 'end_char': array([126], dtype=int32)}, 'effect': {'start_char': array([88], dtype=int32), 'end_char': array([102], dtype=int32)}}"
phantom limb pain as a manifestation of paclitaxel neurotoxicity,paclitaxel,neurotoxicity,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([51], dtype=int32), 'end_char': array([64], dtype=int32)}}"
lithium treatment was terminated in 1975 because of lithium intoxication with a diabetes insipidus-like syndrome,lithium,diabetes insipidus-like syndrome,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([7], dtype=int32)}, 'effect': {'start_char': array([80], dtype=int32), 'end_char': array([112], dtype=int32)}}"
hypernatraemia induced by sodium polystyrene sulphonate (kayexalate) in two extremely low birth weight newborns,sodium polystyrene sulphonate,hypernatraemia,"{'drug': {'start_char': array([26], dtype=int32), 'end_char': array([55], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}}"
penicillin-induced jarisch-herxheimer reaction,penicillin,jarisch-herxheimer reaction,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([19], dtype=int32), 'end_char': array([46], dtype=int32)}}"
aim: to report a patient with diabetic rubeosis who suffered from acute retinal ischemic change and stroke after intravitreal injection of bevacizumab,bevacizumab,stroke,"{'drug': {'start_char': array([139], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([100], dtype=int32), 'end_char': array([106], dtype=int32)}}"
"conclusions: the value of multihormonal therapy in breast carcinoma is not established, and the addition of progestogens to tamoxifen may not reduce of developing endometrial lesions, including carcinoma",tamoxifen,endometrial lesions,"{'drug': {'start_char': array([124], dtype=int32), 'end_char': array([133], dtype=int32)}, 'effect': {'start_char': array([163], dtype=int32), 'end_char': array([182], dtype=int32)}}"
conclusions: this case describes the clinically significant increase of inr in an elderly patient after adding a chemotherapy regimen of levamisole and 5-fu to a previous regimen of warfarin alone,5-fu,increase of inr,"{'drug': {'start_char': array([152], dtype=int32), 'end_char': array([156], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([75], dtype=int32)}}"
patients with vitamin b12 deficiency are exceedingly sensitive to neurologic deterioration following nitrous oxide anesthesia,nitrous oxide,neurologic deterioration,"{'drug': {'start_char': array([101], dtype=int32), 'end_char': array([114], dtype=int32)}, 'effect': {'start_char': array([66], dtype=int32), 'end_char': array([90], dtype=int32)}}"
"type i second-degree av block (mobitz type i, wenckebach av block) during ritodrine therapy for preterm labor",ritodrine,wenckebach av block,"{'drug': {'start_char': array([74], dtype=int32), 'end_char': array([83], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([65], dtype=int32)}}"
we report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (siadh) following systemic chemotherapy with cisplatin (cddp) and vindesine (vds,cisplatin,siadh,"{'drug': {'start_char': array([174], dtype=int32), 'end_char': array([183], dtype=int32)}, 'effect': {'start_char': array([130], dtype=int32), 'end_char': array([135], dtype=int32)}}"
