drug,effect,cosine_similarities
['ethambutol'],[],"[(None, None, None)]"
['paclitaxel'],"['phantom limb pain', 'neurotoxicity']","[('paclitaxel', 'phantom limb pain', np.float32(0.68215585)), ('paclitaxel', 'neurotoxicity', np.float32(0.87496406))]"
['lithium'],[],"[(None, None, None)]"
['sodium polystyrene sulphonate'],['hypernatraemia'],"[('sodium polystyrene sulphonate', 'hypernatraemia', np.float32(0.9491796))]"
[],['jarisch-herxheimer reaction'],"[(None, None, None)]"
['bevacizumab'],['stroke'],"[('bevacizumab', 'stroke', np.float32(0.8745902))]"
"['multihormonal', 'progestogens', 'tamoxifen']",['endometrial lesions'],"[('multihormonal', 'endometrial lesions', np.float32(0.9496902)), ('progestogens', 'endometrial lesions', np.float32(0.91647524)), ('tamoxifen', 'endometrial lesions', np.float32(0.83014226))]"
"['warfarin', '5-fu', 'levamisole']",['increase of inr'],"[('warfarin', 'increase of inr', np.float32(0.8517594)), ('5-fu', 'increase of inr', None), ('levamisole', 'increase of inr', np.float32(0.86026555))]"
['nitrous oxide'],[],"[(None, None, None)]"
['ritodrine'],[],"[(None, None, None)]"
['cisplatin'],[],"[(None, None, None)]"
['epoprostenol'],['fever'],"[('epoprostenol', 'fever', np.float32(0.64083534))]"
['carbamazepine'],['right bundle branch block'],"[('carbamazepine', 'right bundle branch block', np.float32(0.5333554))]"
[],['immunosuppression'],"[(None, None, None)]"
['interferon'],"[""graves' hyperthyroidism"", 'transient thyrotoxicosis']","[('interferon', ""graves' hyperthyroidism"", np.float32(0.7407697)), ('interferon', 'transient thyrotoxicosis', np.float32(0.6800523))]"
['4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol'],"['hypoxemia', 'methemoglobinemia']","[('4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol', 'hypoxemia', np.float32(0.9760298)), ('4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol', 'methemoglobinemia', np.float32(0.91926163))]"
"['methimazole', 'propylthiouracil']",['agranulocytosis'],"[('methimazole', 'agranulocytosis', np.float32(0.7791677)), ('propylthiouracil', 'agranulocytosis', np.float32(0.79668456))]"
['amiodarone'],['fulminant hepatitis'],"[('amiodarone', 'fulminant hepatitis', np.float32(0.7067495))]"
['valproate'],[],"[(None, None, None)]"
"['chlorpropamide', 'sulfonylurea', 'glyburide']",['acute intravascular hemolysis'],"[('chlorpropamide', 'acute intravascular hemolysis', np.float32(0.86658126)), ('sulfonylurea', 'acute intravascular hemolysis', np.float32(0.84237784)), ('glyburide', 'acute intravascular hemolysis', np.float32(0.8779808))]"
['rofecoxib'],[],"[(None, None, None)]"
['valproate'],['hypotension'],"[('valproate', 'hypotension', np.float32(0.69698715))]"
['alteplase'],['massive subfascial hematoma'],"[('alteplase', 'massive subfascial hematoma', np.float32(0.9875299))]"
['nevirapine'],[],"[(None, None, None)]"
['clozapine'],['td'],"[('clozapine', 'td', np.float32(0.81694597))]"
[],['fulminant hepatic failure'],"[(None, None, None)]"
['clonazepam'],[],"[(None, None, None)]"
['arginine monohydrochloride'],['hyperkalemia'],"[('arginine monohydrochloride', 'hyperkalemia', np.float32(0.84164596))]"
['indinavir'],"['nephrolithiasis', 'interstitial nephritis']","[('indinavir', 'nephrolithiasis', np.float32(0.9865783)), ('indinavir', 'interstitial nephritis', np.float32(0.8254455))]"
['amifostine'],['life-threatening anaphylactoid reaction'],"[('amifostine', 'life-threatening anaphylactoid reaction', np.float32(0.77197385))]"
['ifn-beta'],[],"[(None, None, None)]"
['verapamil'],['asthma attack'],"[('verapamil', 'asthma attack', np.float32(0.711876))]"
"['fentanyl', 'citalopram']",['serotonin syndrome'],"[('fentanyl', 'serotonin syndrome', np.float32(0.6365795)), ('citalopram', 'serotonin syndrome', np.float32(0.68820274))]"
['sertraline'],[],"[(None, None, None)]"
[],[],"[(None, None, None)]"
['quinine'],['reversible hearing loss'],"[('quinine', 'reversible hearing loss', np.float32(0.9240296))]"
