EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	13:31:09	0.1000	0.2754	0.1816	0.5780	0.7136	0.6387	0.4707	0.1821	0.5479	0.7179	0.6215	0.4537
2	13:41:42	0.1000	0.1934	0.1445	0.7591	0.5644	0.6474	0.4796	0.1439	0.7200	0.5313	0.6114	0.4427
3	13:50:20	0.1000	0.1771	0.1378	0.7292	0.6532	0.6891	0.5259	0.1408	0.6867	0.6228	0.6532	0.4863
4	13:57:49	0.1000	0.1655	0.1512	0.8037	0.5454	0.6498	0.4817	0.1481	0.7695	0.5193	0.6201	0.4505
5	14:05:21	0.1000	0.1601	0.1307	0.7639	0.5973	0.6704	0.5049	0.1295	0.7621	0.5898	0.6650	0.4996
6	14:12:33	0.1000	0.1553	0.1241	0.7145	0.6931	0.7036	0.5428	0.1282	0.6728	0.6798	0.6763	0.5119
7	14:19:53	0.1000	0.1540	0.1221	0.7132	0.6527	0.6816	0.5170	0.1248	0.6764	0.6348	0.6550	0.4879
8	14:27:03	0.1000	0.1515	0.1281	0.7101	0.7041	0.7071	0.5471	0.1304	0.6895	0.7009	0.6951	0.5335
9	14:34:16	0.1000	0.1484	0.1192	0.7279	0.6766	0.7013	0.5400	0.1238	0.6995	0.6568	0.6775	0.5131
10	14:41:39	0.1000	0.1456	0.1264	0.6761	0.7405	0.7068	0.5466	0.1331	0.6390	0.7314	0.6821	0.5186
